Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Pisticci,40.420277,16.548333,01/01/2021 01:00,0.58,0.0,223.55,0.11,0.37,1.9,0.1,9.66,6.19,1.13,0.01,18.11,0.15,-9999.0,0.0,1007.3,0.0,5.94,3.07,2.19,100.0,0.05
Pisticci,40.420277,16.548333,01/01/2021 02:00,0.65,0.0,314.51,0.05,0.37,1.88,0.1,7.72,5.34,1.32,0.01,17.02,0.1,-9999.0,0.0,1007.5,0.0,5.15,2.46,1.56,99.99,0.04
Pisticci,40.420277,16.548333,01/01/2021 03:00,0.83,0.0,296.36,0.02,0.33,1.87,0.09,5.72,3.9,0.93,0.01,17.47,0.13,-9999.0,0.2,1007.78,0.0,4.41,2.04,1.22,99.99,0.1
Pisticci,40.420277,16.548333,01/01/2021 04:00,0.72,0.0,316.04,0.05,0.32,1.97,0.1,4.57,3.35,0.98,0.01,-9999.0,0.05,-9999.0,0.0,1007.83,0.0,4.94,1.81,1.12,100.0,0.07
Pisticci,40.420277,16.548333,01/01/2021 05:00,0.71,0.0,320.64,0.02,0.31,1.98,0.1,4.85,3.56,1.01,0.01,15.46,0.14,7.0,0.0,1007.89,0.0,-9999.0,1.37,1.29,99.99,0.01
Pisticci,40.420277,16.548333,01/01/2021 06:00,0.67,0.0,246.28,0.09,0.29,-9999.0,-9999.0,7.35,7.92,4.09,0.01,14.03,0.02,16.8,0.0,1007.99,0.0,4.97,1.34,1.37,100.0,0.02
Pisticci,40.420277,16.548333,01/01/2021 07:00,0.64,0.0,155.74,0.06,0.34,1.9,0.1,11.49,10.11,4.07,0.01,8.79,0.06,10.6,0.0,1008.31,0.0,4.95,1.16,1.13,100.0,0.08
Pisticci,40.420277,16.548333,01/01/2021 08:00,0.63,0.0,247.8,0.08,0.38,1.91,0.09,3.81,-9999.0,-9999.0,0.01,15.84,0.02,8.19,0.0,1008.59,10.02,4.97,1.29,0.87,99.99,0.0
Pisticci,40.420277,16.548333,01/01/2021 09:00,0.62,0.0,113.36,0.05,0.17,2.029,0.11,7.43,7.27,3.36,0.01,17.73,0.06,7.0,0.0,1008.88,176.36,4.64,4.2,0.73,99.99,0.0
Pisticci,40.420277,16.548333,01/01/2021 10:00,0.55,0.0,135.68,0.01,0.3,1.93,0.1,5.51,4.81,1.9,0.01,29.42,0.07,4.3,0.0,1009.01,332.23,3.76,7.83,0.99,99.99,0.26
Pisticci,40.420277,16.548333,01/01/2021 11:00,0.65,0.0,133.85,0.14,0.16,1.83,0.12,7.28,6.72,2.92,0.02,32.44,0.09,8.1,0.0,1008.82,428.01,4.53,10.65,1.12,98.29,0.59
Pisticci,40.420277,16.548333,01/01/2021 12:00,0.76,0.0,112.85,0.02,0.14,1.76,0.12,7.57,6.12,2.18,0.01,47.12,0.09,-9999.0,0.0,1008.12,365.46,2.28,13.37,2.07,83.65,0.64
Pisticci,40.420277,16.548333,01/01/2021 13:00,0.85,0.0,157.27,0.12,0.13,1.71,0.13,6.27,5.21,1.96,0.01,56.4,0.2,-9999.0,0.0,1007.35,214.41,5.09,15.35,2.54,71.84,0.86
Pisticci,40.420277,16.548333,01/01/2021 14:00,0.89,0.0,157.11,0.12,0.2,1.69,0.12,3.88,3.45,1.42,0.01,69.69,0.09,-9999.0,0.0,1006.78,71.31,5.39,15.89,1.41,68.28,1.52
Pisticci,40.420277,16.548333,01/01/2021 15:00,0.76,0.0,156.86,0.07,0.1,1.69,0.12,3.86,3.16,1.18,0.01,72.42,0.11,19.0,0.0,1006.65,67.93,4.92,15.92,0.9,65.7,1.7
Pisticci,40.420277,16.548333,01/01/2021 16:00,0.65,0.0,135.03,0.01,0.08,1.69,0.13,3.88,3.19,1.17,0.01,72.39,0.01,-9999.0,0.0,1006.65,65.98,4.7,15.32,0.53,68.25,1.38
Pisticci,40.420277,16.548333,01/01/2021 17:00,0.67,0.0,134.8,0.04,0.09,1.69,0.13,5.85,4.23,1.19,0.01,64.89,0.08,57.66,0.0,1006.71,8.05,4.41,13.66,0.55,72.92,0.66
Pisticci,40.420277,16.548333,01/01/2021 18:00,0.75,0.0,293.37,0.03,0.17,1.69,0.14,6.75,4.64,1.09,0.01,42.95,0.09,9.02,0.0,1006.83,0.0,4.29,9.51,0.56,84.25,0.25
Pisticci,40.420277,16.548333,01/01/2021 19:00,0.73,0.0,247.42,0.09,0.23,1.72,0.13,15.05,9.93,2.06,0.01,26.8,0.12,6.56,0.0,1006.95,0.0,4.96,7.83,0.63,91.54,0.08
Pisticci,40.420277,16.548333,01/01/2021 20:00,0.62,0.0,320.72,0.12,0.43,1.72,0.12,14.1,9.14,1.69,0.01,23.33,0.17,7.99,0.0,1007.16,0.0,4.51,6.7,1.04,94.35,0.0
Pisticci,40.420277,16.548333,01/01/2021 21:00,0.55,0.0,244.69,0.01,0.4,1.88,0.13,19.4,12.58,2.44,0.01,14.64,0.15,4.2,0.0,1007.36,0.0,5.01,5.9,1.83,95.86,0.03
Pisticci,40.420277,16.548333,01/01/2021 22:00,0.61,0.0,50.07,0.1,0.41,1.88,0.12,16.24,11.42,2.92,0.07,14.97,0.3,10.86,0.0,1007.5,0.0,3.9,5.39,1.63,96.96,0.03
Pisticci,40.420277,16.548333,01/01/2021 23:00,0.59,0.0,-9999.0,0.12,0.41,1.92,0.13,23.05,18.08,6.02,0.01,6.69,0.03,14.06,0.2,1007.58,0.0,4.24,4.91,1.21,97.87,-9999.0
Pisticci,40.420277,16.548333,02/01/2021 00:00,0.67,0.0,21.03,0.07,0.43,1.9,0.13,11.19,7.07,1.19,0.01,13.33,0.03,20.84,0.2,1007.44,0.0,5.2,4.26,1.05,98.53,0.08
Pisticci,40.420277,16.548333,02/01/2021 01:00,0.75,0.0,269.61,0.07,0.42,1.88,0.11,7.4,4.96,1.11,0.02,15.55,0.09,12.06,0.4,1007.13,0.0,5.71,3.81,1.57,99.19,0.0
Pisticci,40.420277,16.548333,02/01/2021 02:00,0.74,0.0,312.95,0.14,0.48,1.87,0.11,5.97,4.08,0.99,0.01,14.21,0.09,6.82,0.2,1007.04,0.0,4.38,3.17,2.23,99.7,0.06
Pisticci,40.420277,16.548333,02/01/2021 03:00,0.68,0.0,333.56,0.07,0.43,1.85,0.11,6.09,4.13,1.0,0.01,-9999.0,0.06,9.17,0.4,1007.11,0.0,4.45,2.96,1.79,99.99,0.03
Pisticci,40.420277,16.548333,02/01/2021 04:00,0.63,0.0,359.5,0.02,0.47,1.89,0.1,4.13,3.0,0.87,0.01,16.2,0.1,6.71,0.2,1006.56,0.0,-9999.0,2.77,1.36,100.0,0.1
Pisticci,40.420277,16.548333,02/01/2021 05:00,0.61,0.0,314.28,0.04,0.44,-9999.0,-9999.0,6.66,4.37,0.92,0.01,14.52,0.02,6.31,0.6,1006.17,0.0,4.4,3.19,1.04,99.99,0.1
Pisticci,40.420277,16.548333,02/01/2021 06:00,0.61,0.0,338.34,0.03,0.37,1.88,0.1,5.59,3.8,0.88,0.0,18.14,0.06,10.35,0.4,1005.86,0.0,4.67,4.43,0.82,100.0,0.15
Pisticci,40.420277,16.548333,02/01/2021 07:00,0.61,0.0,-9999.0,0.01,0.31,1.84,0.11,9.23,-9999.0,-9999.0,0.01,14.91,0.06,10.01,0.0,1005.84,0.0,4.4,5.0,0.65,99.99,-9999.0
Pisticci,40.420277,16.548333,02/01/2021 08:00,0.64,0.0,-9999.0,0.03,0.31,1.82,0.13,16.54,12.44,3.74,0.01,6.39,0.06,16.58,0.2,1005.73,0.79,3.92,5.36,0.7,99.99,-9999.0
Pisticci,40.420277,16.548333,02/01/2021 09:00,0.69,0.0,21.77,0.1,0.28,1.82,0.15,12.42,8.67,2.21,0.01,23.36,0.07,4.3,0.2,1005.55,27.58,3.34,7.5,1.56,99.99,0.59
Pisticci,40.420277,16.548333,02/01/2021 10:00,0.64,0.0,157.59,0.06,0.28,1.71,0.16,7.01,5.34,1.64,0.01,60.42,0.13,3.85,0.0,1005.34,87.8,5.03,12.49,3.18,99.99,1.56
Pisticci,40.420277,16.548333,02/01/2021 11:00,0.6,0.0,158.1,0.07,0.24,1.69,0.15,5.17,3.89,1.17,0.01,70.67,0.14,6.95,0.0,1005.32,93.03,4.76,15.01,4.29,99.99,1.75
Pisticci,40.420277,16.548333,02/01/2021 12:00,0.63,0.0,157.93,0.05,0.1,1.68,0.16,7.54,5.59,1.66,0.0,67.22,0.03,12.1,0.0,1004.67,45.78,4.02,15.16,1.08,98.2,1.21
Pisticci,40.420277,16.548333,02/01/2021 13:00,0.74,0.0,156.84,0.05,0.2,1.67,0.16,5.36,4.1,1.29,0.01,73.48,0.19,11.69,0.0,1003.73,88.79,4.43,15.39,1.05,95.88,2.24
Pisticci,40.420277,16.548333,02/01/2021 14:00,0.7,0.0,135.0,0.09,0.16,1.67,0.16,5.02,3.83,1.21,0.01,73.75,0.1,15.07,0.0,1003.25,126.27,4.75,15.97,0.62,91.91,2.63
Pisticci,40.420277,16.548333,02/01/2021 15:00,0.71,0.0,134.93,0.01,0.06,1.66,0.17,4.68,3.73,1.29,0.01,74.97,0.02,31.51,0.2,1003.21,68.83,6.17,15.79,0.51,89.79,2.91
Pisticci,40.420277,16.548333,02/01/2021 16:00,0.69,0.0,113.68,0.07,0.02,1.67,0.16,4.13,3.01,0.89,0.01,74.69,0.02,31.07,0.0,1003.41,57.5,5.97,15.48,0.42,90.21,2.85
Pisticci,40.420277,16.548333,02/01/2021 17:00,0.66,0.0,156.53,0.06,0.02,1.66,0.16,5.04,3.96,1.34,0.01,71.89,0.02,12.61,0.0,1003.48,1.07,5.26,14.68,0.39,89.83,1.93
Pisticci,40.420277,16.548333,02/01/2021 18:00,0.68,0.0,270.03,0.06,0.11,1.65,0.13,3.54,2.73,0.89,0.01,76.36,0.12,10.33,0.0,1004.32,0.0,4.04,14.5,0.47,88.55,1.26
Pisticci,40.420277,16.548333,02/01/2021 19:00,0.77,0.0,269.3,0.01,0.1,1.66,0.13,11.17,7.91,2.05,0.01,70.77,0.05,9.8,0.0,1004.54,0.0,4.66,14.0,0.52,77.34,0.72
Pisticci,40.420277,16.548333,02/01/2021 20:00,0.82,0.0,269.33,0.02,0.2,1.68,0.13,5.63,4.09,1.16,0.01,76.33,0.02,4.32,0.0,1004.71,0.0,4.37,12.68,2.36,79.68,0.95
Pisticci,40.420277,16.548333,02/01/2021 21:00,0.78,0.0,266.28,0.05,0.1,1.68,0.14,10.7,6.66,1.09,0.01,60.38,0.14,8.76,0.0,1004.42,0.0,5.5,10.91,2.48,86.1,0.21
Pisticci,40.420277,16.548333,02/01/2021 22:00,0.78,0.0,269.1,0.07,0.23,1.75,0.15,18.03,11.08,1.64,0.02,37.34,0.24,9.65,0.0,1004.76,0.0,5.17,9.16,1.83,89.92,0.31
Pisticci,40.420277,16.548333,02/01/2021 23:00,0.68,0.0,269.05,0.02,0.24,1.74,0.15,24.45,17.03,4.22,0.02,22.86,0.21,8.78,0.0,1004.8,0.0,5.91,8.56,2.22,93.03,0.06
Pisticci,40.420277,16.548333,03/01/2021 00:00,0.64,0.0,243.52,0.02,0.32,1.8,0.15,15.1,8.89,1.01,0.01,23.45,0.1,-9999.0,0.0,1004.54,0.0,3.77,8.05,1.79,94.93,0.0
Pisticci,40.420277,16.548333,03/01/2021 01:00,0.65,0.0,272.45,0.07,0.41,1.79,0.14,9.55,5.85,0.89,0.01,23.42,0.15,6.07,0.0,1004.23,0.0,4.42,7.43,1.91,96.22,0.02
Pisticci,40.420277,16.548333,03/01/2021 02:00,0.58,0.0,314.32,0.07,0.45,1.79,0.14,5.37,3.72,0.93,0.01,-9999.0,0.09,4.16,0.0,1004.41,0.0,4.47,6.53,2.46,97.45,0.11
Pisticci,40.420277,16.548333,03/01/2021 03:00,0.55,0.0,229.41,0.05,0.46,1.75,0.11,5.3,3.75,0.99,0.01,28.1,0.03,9.54,0.0,1004.89,0.0,-9999.0,6.2,2.85,98.44,0.06
Pisticci,40.420277,16.548333,03/01/2021 04:00,0.53,0.0,41.48,0.03,0.4,-9999.0,-9999.0,5.0,3.5,0.9,0.01,24.37,0.09,12.6,0.0,1004.72,0.0,5.01,5.88,1.78,99.19,0.08
Pisticci,40.420277,16.548333,03/01/2021 05:00,0.54,0.0,247.98,0.07,0.35,1.82,0.11,5.49,3.9,1.02,0.01,22.9,0.05,8.15,0.0,1004.52,0.0,3.93,5.39,1.55,99.78,0.13
Pisticci,40.420277,16.548333,03/01/2021 06:00,0.51,0.0,334.15,0.01,0.32,1.91,0.12,7.66,-9999.0,-9999.0,0.01,19.02,0.09,24.11,0.0,1004.58,0.0,4.76,5.01,1.54,99.99,0.08
Pisticci,40.420277,16.548333,03/01/2021 07:00,0.47,0.0,270.03,0.02,0.19,1.88,0.12,15.7,13.07,4.87,0.01,8.08,0.02,56.2,0.0,1005.31,0.0,4.68,4.47,1.88,100.0,0.01
Pisticci,40.420277,16.548333,03/01/2021 08:00,0.48,0.0,271.15,0.16,0.35,1.9,0.11,16.29,11.78,3.23,0.02,13.18,0.24,20.27,0.2,1006.05,21.11,4.6,5.34,1.92,100.0,0.04
Pisticci,40.420277,16.548333,03/01/2021 09:00,0.46,0.0,113.39,0.08,0.32,1.96,0.13,12.06,8.99,2.7,0.01,19.38,0.02,-9999.0,0.0,1005.97,135.09,4.91,7.91,1.3,100.0,0.0
Pisticci,40.420277,16.548333,03/01/2021 10:00,0.56,0.01,134.65,0.06,0.32,1.81,0.14,7.64,6.32,2.31,0.01,36.21,0.16,28.16,0.0,1006.2,317.37,3.85,11.75,1.39,100.0,0.16
Pisticci,40.420277,16.548333,03/01/2021 11:00,0.78,0.0,134.53,0.06,0.32,1.72,0.12,6.91,5.7,2.09,0.01,52.14,0.2,9.88,0.0,1005.97,418.23,4.05,14.54,3.05,99.01,0.54
Pisticci,40.420277,16.548333,03/01/2021 12:00,0.91,0.0,133.18,0.13,0.24,1.69,0.14,6.52,5.12,1.75,0.01,63.9,0.18,-9999.0,0.0,1005.58,384.34,4.02,16.4,2.87,86.44,0.61
Pisticci,40.420277,16.548333,03/01/2021 13:00,1.03,0.0,269.46,0.07,0.22,1.67,0.12,4.27,3.38,1.17,0.01,73.01,0.22,64.42,0.0,1005.25,145.27,5.92,15.57,1.81,69.78,1.21
Pisticci,40.420277,16.548333,03/01/2021 14:00,1.12,0.0,269.97,0.07,0.21,1.68,0.13,4.87,3.58,1.03,0.01,70.88,0.2,-9999.0,0.0,1005.74,91.45,2.3,12.26,1.12,78.82,0.61
Pisticci,40.420277,16.548333,03/01/2021 15:00,0.92,0.0,245.26,0.09,0.02,1.7,0.14,5.21,3.7,0.98,0.01,67.83,0.08,15.5,0.0,1005.9,63.31,4.76,11.98,0.63,84.07,0.33
Pisticci,40.420277,16.548333,03/01/2021 16:00,0.85,0.0,316.54,0.07,0.12,1.73,0.14,5.76,4.06,1.04,0.01,64.39,0.05,19.33,0.0,1005.81,57.16,4.84,12.16,0.64,87.14,0.24
Pisticci,40.420277,16.548333,03/01/2021 17:00,0.85,0.0,-9999.0,0.01,0.25,1.69,0.15,11.92,8.59,2.32,0.01,45.06,0.06,20.19,0.0,1005.95,2.09,4.56,10.61,0.55,88.28,-9999.0
Pisticci,40.420277,16.548333,03/01/2021 18:00,0.79,0.0,248.96,0.01,0.33,1.69,0.13,13.85,8.79,1.54,0.01,34.84,0.12,17.25,0.0,1006.57,0.0,4.31,8.9,0.65,91.65,0.43
Pisticci,40.420277,16.548333,03/01/2021 19:00,0.66,0.0,246.71,0.08,0.42,1.79,0.13,17.44,10.83,1.72,0.01,33.67,0.08,12.94,0.0,1006.66,0.0,3.96,8.1,1.7,94.11,0.14
Pisticci,40.420277,16.548333,03/01/2021 20:00,0.7,0.0,200.4,0.12,0.36,1.82,0.12,19.21,12.48,2.39,0.01,19.08,0.13,17.56,0.0,1007.04,0.0,3.7,6.51,2.16,95.52,0.08
Pisticci,40.420277,16.548333,03/01/2021 21:00,0.62,0.0,294.17,0.15,0.33,1.79,0.13,19.19,13.06,3.01,0.06,16.5,0.14,24.36,0.0,1006.8,0.0,4.6,6.23,1.72,96.72,0.03
Pisticci,40.420277,16.548333,03/01/2021 22:00,0.66,0.0,88.8,0.14,0.34,1.81,0.16,18.87,13.37,3.49,0.02,22.09,0.26,8.24,0.0,1006.34,0.0,4.48,6.99,1.62,97.94,0.23
Pisticci,40.420277,16.548333,03/01/2021 23:00,0.65,0.0,44.61,0.13,0.39,1.77,0.14,10.54,6.79,1.26,0.01,31.04,0.2,10.72,0.0,1005.96,0.0,4.84,7.06,6.88,98.85,0.22
Pisticci,40.420277,16.548333,04/01/2021 00:00,0.56,0.0,-9999.0,0.02,0.3,1.76,0.12,8.45,5.44,1.05,0.02,33.44,0.09,13.93,0.0,1005.86,0.0,3.73,6.57,8.66,99.42,-9999.0
Pisticci,40.420277,16.548333,04/01/2021 01:00,0.61,0.02,292.8,0.07,0.24,1.82,0.13,9.01,5.68,1.0,0.01,-9999.0,0.18,10.45,0.0,1005.56,0.0,3.22,6.45,6.71,99.93,0.43
Pisticci,40.420277,16.548333,04/01/2021 02:00,0.64,0.0,269.84,0.07,0.2,1.73,0.11,8.73,5.62,1.05,0.01,33.68,0.14,10.08,0.0,1005.51,0.0,-9999.0,6.56,5.29,100.0,0.31
Pisticci,40.420277,16.548333,04/01/2021 03:00,0.52,0.01,357.36,0.02,0.1,-9999.0,-9999.0,6.61,4.35,0.94,0.01,29.55,0.12,5.27,0.0,1005.36,0.0,4.64,5.94,4.25,100.0,0.22
Pisticci,40.420277,16.548333,04/01/2021 04:00,0.5,0.0,296.66,0.01,0.22,1.72,0.1,7.8,5.04,0.99,0.0,30.31,0.07,-9999.0,0.0,1004.49,0.0,4.73,6.1,2.88,100.0,0.28
Pisticci,40.420277,16.548333,04/01/2021 05:00,0.5,0.0,268.1,0.03,0.19,1.73,0.11,6.5,-9999.0,-9999.0,0.0,32.5,0.03,-9999.0,0.0,1003.81,0.0,4.33,6.59,1.92,100.0,0.4
Pisticci,40.420277,16.548333,04/01/2021 06:00,0.51,0.0,267.96,0.05,0.2,1.74,0.11,18.87,12.2,2.34,0.01,18.0,0.05,-9999.0,0.0,1003.58,0.0,5.36,5.69,1.37,100.0,0.33
Pisticci,40.420277,16.548333,04/01/2021 07:00,0.49,0.0,113.26,0.05,0.12,1.74,0.1,33.88,36.61,18.84,0.01,8.19,0.03,-9999.0,0.0,1003.67,0.0,4.74,5.67,1.19,100.0,0.34
Pisticci,40.420277,16.548333,04/01/2021 08:00,0.56,0.02,334.82,0.04,0.2,1.78,0.11,30.63,28.02,11.97,0.01,3.16,0.07,-9999.0,0.0,1004.01,2.46,4.44,5.12,1.07,100.0,0.22
Pisticci,40.420277,16.548333,04/01/2021 09:00,0.65,0.07,272.74,0.18,0.3,1.79,0.11,34.42,44.43,26.36,0.11,4.6,0.38,-9999.0,0.0,1004.17,36.85,4.78,6.11,2.13,100.0,0.11
Pisticci,40.420277,16.548333,04/01/2021 10:00,0.61,0.15,-9999.0,0.23,0.37,1.85,0.12,20.57,18.4,7.61,0.09,22.96,0.47,-9999.0,0.0,1004.04,104.46,4.77,8.37,2.39,99.99,-9999.0
Pisticci,40.420277,16.548333,04/01/2021 11:00,0.6,0.12,269.02,0.21,0.33,1.77,0.12,14.94,12.0,4.12,0.02,29.32,0.46,-9999.0,0.0,1003.8,185.16,5.48,10.41,1.75,99.99,0.38
Pisticci,40.420277,16.548333,04/01/2021 12:00,0.64,0.07,336.26,0.19,0.29,1.73,0.11,8.28,6.72,2.38,0.07,45.8,0.37,-9999.0,0.0,1003.14,241.95,5.7,12.65,2.88,98.56,0.48
Pisticci,40.420277,16.548333,04/01/2021 13:00,0.77,0.07,314.38,0.1,0.28,1.71,0.12,7.29,5.96,2.16,0.03,52.09,0.33,-9999.0,0.0,1002.23,222.29,5.03,14.88,1.65,92.53,0.58
Pisticci,40.420277,16.548333,04/01/2021 14:00,0.92,0.09,337.25,0.13,0.26,1.69,0.11,6.99,5.36,1.7,0.02,57.87,0.25,-9999.0,0.0,1001.67,74.07,4.82,14.86,1.19,79.65,0.52
Pisticci,40.420277,16.548333,04/01/2021 15:00,0.88,0.14,247.59,0.09,0.21,1.68,0.11,6.46,5.07,1.69,0.01,66.8,0.16,-9999.0,0.0,1001.62,67.46,5.89,15.73,0.82,69.36,0.93
Pisticci,40.420277,16.548333,04/01/2021 16:00,0.8,0.16,248.19,0.1,0.11,1.68,0.1,6.25,4.43,1.18,0.01,68.22,0.1,-9999.0,0.0,1002.0,53.71,6.34,15.34,0.89,64.55,1.12
Pisticci,40.420277,16.548333,04/01/2021 17:00,0.8,0.17,268.81,0.06,0.13,1.68,0.1,12.47,9.75,3.21,0.01,58.31,0.16,-9999.0,0.0,1002.42,2.56,4.24,12.96,0.79,69.31,0.89
Pisticci,40.420277,16.548333,04/01/2021 18:00,0.78,0.2,89.26,0.02,0.24,1.77,0.11,23.71,16.09,3.66,0.01,38.76,0.07,-9999.0,0.0,1003.0,0.0,5.72,10.94,0.57,74.42,0.41
Pisticci,40.420277,16.548333,04/01/2021 19:00,0.79,0.16,226.48,0.12,0.29,1.77,0.12,29.91,19.43,3.78,0.04,29.77,0.22,-9999.0,0.0,1003.54,0.0,5.1,9.41,0.96,81.06,0.32
Pisticci,40.420277,16.548333,04/01/2021 20:00,0.84,0.14,155.12,0.27,0.37,1.78,0.26,29.55,18.6,3.09,0.12,19.72,0.52,-9999.0,0.0,1004.11,0.0,5.02,7.88,1.98,85.16,0.38
Pisticci,40.420277,16.548333,04/01/2021 21:00,0.87,0.11,248.11,0.29,0.4,1.77,0.16,20.22,13.25,2.63,0.14,23.0,0.67,-9999.0,0.0,1004.54,0.0,5.0,6.64,17.04,89.23,0.22
Pisticci,40.420277,16.548333,04/01/2021 22:00,0.88,0.09,247.77,0.33,0.43,1.76,0.1,27.08,18.76,4.55,0.23,13.73,0.74,-9999.0,0.0,1004.9,0.0,5.23,5.19,22.12,91.55,0.19
Pisticci,40.420277,16.548333,04/01/2021 23:00,0.89,0.14,0.28,0.15,0.37,1.76,0.11,25.22,19.42,6.22,0.11,10.56,0.59,-9999.0,0.2,1005.22,0.0,4.74,4.37,8.71,93.41,0.2
Pisticci,40.420277,16.548333,05/01/2021 00:00,0.88,0.11,247.69,0.14,0.39,1.78,0.1,11.53,7.1,1.09,0.02,-9999.0,0.5,-9999.0,0.0,1005.36,0.0,4.66,4.01,3.81,94.88,0.29
Pisticci,40.420277,16.548333,05/01/2021 01:00,0.78,0.1,246.3,0.22,0.35,1.78,0.1,9.12,6.08,1.33,0.1,24.32,0.46,-9999.0,0.2,1005.76,0.0,-9999.0,3.36,2.58,96.05,0.12
Pisticci,40.420277,16.548333,05/01/2021 02:00,0.91,0.03,269.66,0.4,0.48,-9999.0,-9999.0,6.7,4.67,1.17,0.41,23.11,1.03,-9999.0,0.0,1006.06,0.0,3.74,2.74,2.79,96.99,0.12
