Stazione,Latitudine,Longitudine,Data_Ora,Direzione_Vento (°N),O3 (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mbar),Radiazione_Globale (W/m²),SO2 (µg/m³),Velocità_Vento (m/s)
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 01:00,359.0,56.16,8.86,0.0,934.52,0.01,4.07,0.73
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 02:00,110.0,54.17,8.74,0.0,934.65,0.0,4.08,0.25
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 03:00,159.0,52.8,8.96,0.0,935.0,0.0,3.66,0.52
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 04:00,162.0,52.58,6.8,0.0,935.02,0.0,3.12,0.37
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 05:00,215.0,50.74,4.58,0.0,934.96,0.0,3.61,0.33
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 06:00,346.0,48.16,8.22,0.0,935.12,0.0,3.83,0.35
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 07:00,173.0,52.49,8.08,0.0,935.21,0.0,2.89,0.41
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 08:00,139.0,50.33,11.45,0.0,935.62,0.07,3.65,0.36
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 09:00,81.0,43.35,5.08,0.2,935.56,20.68,3.42,0.21
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 10:00,203.0,45.28,4.84,0.0,934.61,172.41,3.92,0.04
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 11:00,357.0,58.85,7.58,0.0,933.8,233.39,4.18,0.72
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 12:00,355.0,68.83,5.97,0.0,933.25,190.04,3.42,1.19
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 13:00,5.0,68.52,12.44,0.0,932.79,94.08,2.93,1.43
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 14:00,91.0,66.07,6.86,0.0,932.53,46.82,2.53,0.99
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 15:00,8.0,66.11,7.6,0.0,932.46,52.96,2.93,1.08
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 16:00,64.0,65.38,5.36,0.0,932.63,19.98,2.75,0.42
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 17:00,300.0,59.52,6.96,0.0,933.02,2.4,4.1,0.72
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 18:00,93.0,51.89,8.24,0.2,933.55,0.0,4.43,0.55
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 19:00,155.0,51.18,10.1,0.0,934.13,0.0,4.29,0.21
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 20:00,76.0,41.66,6.62,0.0,934.52,0.0,4.1,0.15
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 21:00,230.0,19.94,18.69,0.0,934.91,0.0,2.68,0.38
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 22:00,221.0,25.45,16.19,0.0,934.86,0.0,1.87,0.31
Potenza_Cda_Rossellino,40.313888,15.904444,01/01/2022 23:00,234.0,23.97,8.44,0.2,934.59,0.01,3.93,0.72
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 00:00,217.0,34.78,1.87,0.0,934.13,0.0,4.03,0.65
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 01:00,112.0,59.54,5.48,0.0,933.32,0.0,3.19,1.35
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 02:00,112.0,63.64,4.46,0.0,933.07,0.02,4.32,1.85
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 03:00,96.0,64.21,10.46,0.0,933.18,0.0,4.83,1.26
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 04:00,88.0,61.82,12.11,0.0,932.74,0.01,4.78,0.89
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 05:00,156.0,53.16,2.63,0.2,932.33,0.0,3.56,0.08
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 06:00,87.0,57.4,9.61,0.2,931.87,0.0,4.03,1.49
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 07:00,70.0,59.23,3.47,0.6,931.78,0.0,4.85,0.71
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 08:00,100.0,54.4,5.65,0.8,931.91,0.42,4.24,1.17
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 09:00,98.0,65.96,12.25,0.0,931.21,24.02,4.28,2.28
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 10:00,81.0,63.54,8.0,0.0,930.8,84.22,3.25,1.07
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 11:00,78.0,54.97,10.62,0.2,930.79,10.78,4.44,0.94
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 12:00,88.0,54.43,13.82,0.2,930.19,33.5,4.71,1.26
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 13:00,89.0,55.82,33.26,0.0,929.45,16.59,4.68,0.95
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 14:00,262.0,54.85,29.39,0.4,928.88,55.26,4.99,2.49
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 15:00,263.0,70.7,7.33,3.8,930.64,2.12,4.3,1.35
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 16:00,5.0,71.69,5.01,6.2,931.16,2.0,4.12,0.94
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 17:00,127.0,65.37,4.62,0.0,930.85,2.76,4.01,1.04
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 18:00,123.0,53.36,7.75,0.0,931.19,0.0,3.08,0.97
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 19:00,140.0,36.87,8.61,0.0,931.75,0.0,3.98,0.92
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 20:00,132.0,43.01,4.51,0.2,932.02,0.0,3.94,1.02
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 21:00,95.0,50.17,8.75,0.0,932.01,0.0,3.91,1.07
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 22:00,139.0,55.06,8.5,0.0,932.22,0.0,4.25,0.69
Potenza_Cda_Rossellino,40.313888,15.904444,02/01/2022 23:00,138.0,60.37,9.0,0.0,932.24,0.0,3.66,0.52
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 00:00,134.0,58.41,10.11,0.0,932.02,0.0,2.43,0.81
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 01:00,138.0,58.68,13.4,0.0,932.02,0.0,3.39,0.67
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 02:00,132.0,58.07,12.79,0.0,932.06,0.0,4.31,0.81
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 03:00,123.0,55.21,15.89,0.0,932.17,0.0,4.32,0.62
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 04:00,155.0,49.25,18.28,0.0,932.16,0.0,4.44,0.51
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 05:00,140.0,49.95,22.46,0.2,932.05,0.0,4.47,0.82
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 06:00,151.0,60.09,23.47,0.8,932.17,0.0,3.82,0.41
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 07:00,115.0,47.2,25.84,0.0,932.66,0.0,4.11,0.74
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 08:00,121.0,35.83,34.06,0.0,932.88,0.0,4.37,0.71
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 09:00,144.0,35.62,30.82,0.0,933.28,15.22,4.17,0.52
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 10:00,163.0,47.02,37.03,0.0,933.03,76.39,4.38,0.41
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 11:00,4.0,64.95,23.35,0.0,931.91,161.44,4.02,0.82
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 12:00,82.0,71.45,17.59,0.0,931.38,63.24,3.45,0.75
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 13:00,98.0,70.93,22.73,5.6,932.62,0.18,4.4,2.08
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 14:00,258.0,69.82,19.87,0.4,932.81,105.47,3.47,0.43
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 15:00,84.0,71.92,20.16,1.4,932.78,33.11,3.76,1.9
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 16:00,70.0,65.91,20.62,1.0,933.06,5.17,4.14,0.18
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 17:00,79.0,69.51,16.92,2.0,934.01,0.48,3.99,0.63
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 18:00,146.0,58.15,14.82,0.0,934.17,0.0,4.3,0.56
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 19:00,144.0,58.2,20.3,0.0,934.27,0.0,4.16,0.65
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 20:00,171.0,57.6,20.09,0.2,934.23,0.0,3.76,0.31
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 21:00,128.0,52.27,12.11,0.0,934.03,0.0,3.96,0.32
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 22:00,123.0,40.65,10.98,0.0,933.79,0.0,3.63,0.74
Potenza_Cda_Rossellino,40.313888,15.904444,03/01/2022 23:00,0.0,62.63,10.47,0.0,933.09,0.0,3.41,0.66
