Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 01:00,1.18,0.55,204.11,0.01,0.01,2.12,0.15,-9999.0,-9999.0,-9999.0,0.01,64.56,0.01,0.0,927.91,0.0,1.49,2.72,0.43,92.26,3.03
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 02:00,0.87,0.49,203.13,0.01,0.01,2.11,0.15,7.45,5.04,1.14,0.01,65.53,0.01,0.0,927.96,0.0,0.0,2.78,0.31,89.99,2.23
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 03:00,0.75,0.59,201.69,0.01,0.01,2.11,0.14,5.71,3.75,0.77,0.01,65.46,0.01,0.0,928.09,0.0,0.0,2.36,0.25,91.15,2.99
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 04:00,0.68,0.49,202.93,0.01,0.01,2.13,0.14,5.44,3.61,0.77,0.01,64.26,0.01,0.0,928.15,0.0,0.0,1.74,0.24,92.87,1.74
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 05:00,0.61,0.56,204.72,0.01,0.01,2.12,0.14,5.08,4.07,1.41,0.01,62.66,0.01,0.0,928.0,0.0,0.0,1.66,0.2,94.2,2.55
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 06:00,0.61,0.61,223.21,0.01,0.01,2.12,0.14,5.33,3.71,0.92,0.01,64.6,0.01,0.0,927.98,0.0,0.0,1.76,0.23,94.56,2.24
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 07:00,0.9,0.49,203.11,0.01,0.01,2.11,0.14,5.8,3.9,0.86,0.01,63.99,0.01,0.0,928.25,0.0,0.0,1.5,0.22,95.08,1.65
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 08:00,0.93,0.53,181.81,0.01,0.01,2.13,0.14,6.83,4.52,0.94,0.01,62.68,0.01,0.0,928.7,6.88,0.0,1.47,0.2,95.48,0.78
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 09:00,1.0,0.52,179.84,0.01,0.01,-9999.0,-9999.0,6.66,4.75,1.27,0.01,64.15,0.01,0.0,928.91,44.74,0.0,2.26,0.18,93.48,0.8
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 10:00,1.12,0.44,158.24,0.01,0.01,2.11,0.15,5.34,3.71,0.92,0.01,65.51,0.01,0.0,928.95,181.99,0.0,4.62,0.24,79.87,0.8
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 11:00,0.69,0.45,157.07,0.01,0.01,2.1,0.14,6.27,4.64,1.36,0.0,67.81,0.01,0.0,928.79,294.69,0.0,6.84,0.17,68.85,1.11
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 12:00,0.79,0.5,224.66,0.01,0.01,2.08,0.13,4.32,3.33,1.06,0.01,74.71,0.01,0.0,928.16,469.85,0.0,8.55,0.22,58.28,3.84
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 13:00,0.53,0.26,177.92,0.01,0.01,2.07,0.14,3.62,3.2,1.3,0.01,73.5,0.01,0.0,927.74,237.36,0.0,8.16,0.07,66.26,5.43
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 14:00,0.54,0.2,158.46,0.01,0.01,2.07,0.14,3.71,3.2,1.26,0.01,73.31,0.01,0.0,927.35,182.59,0.0,8.1,0.13,68.34,3.91
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 15:00,0.5,0.31,-9999.0,0.01,0.01,2.08,0.16,5.31,3.9,1.12,0.01,72.47,0.01,0.0,927.4,130.93,0.0,8.26,0.13,70.59,-9999.0
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 16:00,1.36,0.22,201.84,0.04,0.01,2.1,0.16,5.43,3.8,0.96,0.01,72.79,0.01,0.0,927.4,69.93,0.0,8.16,0.38,68.65,2.51
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 17:00,1.17,0.27,202.02,0.02,0.01,2.1,0.15,7.17,5.17,1.43,0.01,71.01,0.01,0.0,927.6,6.58,0.0,7.17,0.35,74.55,2.4
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2021 18:00,0.76,0.27,179.84,0.01,0.01,2.12,0.16,8.99,6.02,1.32,0.01,65.11,0.01,0.0,927.79,0.02,0.0,5.79,0.21,82.21,0.63
