Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Etilbenzene (µg/m³),mp-Xilene (µg/m³),o-Xilene (µg/m³),PM10 (µg/m³),Toluene (µg/m³)
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 01:00,0.51,0.25,0.11,0.42,0.11,15.47,0.56
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 02:00,0.48,0.26,0.11,0.12,0.11,18.91,0.39
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 03:00,0.48,0.23,0.11,0.12,0.11,16.95,0.5
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 04:00,0.28,0.2,0.11,0.37,0.11,15.61,0.56
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 05:00,0.25,0.22,0.11,0.12,0.11,16.23,0.16
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 06:00,0.25,0.24,0.11,0.55,0.11,14.63,0.5
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 07:00,0.25,0.24,0.11,0.62,0.21,16.14,0.56
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 08:00,0.26,0.3,0.11,0.62,0.11,20.59,0.57
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 09:00,0.35,0.33,0.11,0.85,0.27,9.94,0.76
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 10:00,0.55,0.33,0.11,1.13,0.24,10.1,1.03
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 11:00,0.47,0.16,0.11,0.47,0.12,12.81,0.45
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 12:00,0.21,0.13,0.11,0.11,0.1,15.27,0.09
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 13:00,0.21,0.13,0.11,0.11,0.1,23.91,0.26
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 14:00,0.08,0.13,0.11,0.11,0.1,16.03,0.15
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 15:00,0.19,0.13,0.11,0.11,0.1,15.77,0.09
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 16:00,0.08,0.13,0.11,-0.01,0.1,14.77,0.08
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 17:00,0.2,0.17,0.11,-0.02,0.1,14.1,0.09
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 18:00,0.36,0.31,0.11,0.1,0.1,16.63,0.27
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 19:00,0.97,0.52,0.2,0.98,0.34,18.89,1.15
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 20:00,1.61,-9999.0,0.41,2.19,0.64,17.13,1.91
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 21:00,2.27,0.92,0.62,2.99,0.73,40.46,2.39
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 22:00,3.07,1.0,0.65,2.79,0.65,26.27,2.46
Potenza_Viale_Unicef,40.627777,15.796388,01/01/2021 23:00,3.67,0.89,0.59,2.87,0.65,14.34,2.68
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 00:00,3.44,0.75,0.46,1.6,0.3,9.61,1.86
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 01:00,2.45,0.57,0.46,1.19,0.25,14.82,1.5
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 02:00,1.47,0.32,0.34,0.99,0.25,13.02,1.32
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 03:00,0.54,0.18,0.11,0.63,0.19,24.96,0.86
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 04:00,0.24,0.22,0.11,0.39,0.11,25.64,0.56
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 05:00,0.69,0.3,0.11,0.53,0.11,10.54,0.57
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 06:00,1.09,0.28,0.11,0.6,0.11,20.88,0.58
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 07:00,1.24,0.23,0.11,0.42,0.11,8.13,0.62
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 08:00,0.39,0.23,0.4,1.03,0.21,13.9,0.91
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 09:00,0.36,0.38,0.15,0.94,0.16,27.82,0.62
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 10:00,0.63,0.14,0.38,2.42,0.5,18.35,1.73
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 11:00,0.22,0.17,0.11,0.67,0.11,29.5,0.56
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 12:00,0.22,0.16,0.11,0.62,0.16,35.32,0.56
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 13:00,0.22,0.22,0.11,0.76,0.13,52.89,0.56
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 14:00,0.42,0.18,0.11,0.91,0.17,36.85,0.56
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 15:00,0.24,0.12,0.11,0.39,0.11,13.88,0.38
