Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),PM10 (µg/m³)
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 01:00,0.47,19.57
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 02:00,0.44,18.17
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 03:00,0.32,12.43
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 04:00,0.3,9.88
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 05:00,0.27,11.1
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 06:00,0.27,7.83
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 07:00,0.26,15.76
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 08:00,0.27,17.98
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 09:00,0.41,8.42
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 10:00,0.39,8.96
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 11:00,0.31,12.01
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 12:00,0.33,13.03
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 13:00,0.36,19.38
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 14:00,0.38,13.51
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 15:00,0.34,11.43
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 16:00,0.32,8.72
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 17:00,0.4,10.85
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 18:00,0.46,15.15
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 19:00,0.85,14.38
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 20:00,1.01,10.75
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 21:00,0.93,26.29
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 22:00,0.85,17.89
Potenza_viale_Firenze,40.313888,15.904444,01/01/2022 23:00,0.76,5.66
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 00:00,0.64,2.59
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 01:00,0.31,5.55
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 02:00,0.29,8.96
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 03:00,0.26,21.73
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 04:00,0.27,21.63
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 05:00,0.32,5.87
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 06:00,0.3,13.55
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 07:00,0.31,1.01
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 08:00,0.41,6.41
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 09:00,0.52,24.05
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 10:00,0.53,16.1
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 11:00,0.46,32.64
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 12:00,0.46,36.34
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 13:00,0.46,52.29
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 14:00,0.45,36.33
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 15:00,0.34,9.25
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 16:00,0.32,4.97
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 17:00,0.64,8.13
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 18:00,1.07,15.7
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 19:00,1.41,14.28
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 20:00,1.39,9.07
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 21:00,1.49,18.3
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 22:00,1.24,14.49
Potenza_viale_Firenze,40.313888,15.904444,02/01/2022 23:00,0.9,22.42
Potenza_viale_Firenze,40.313888,15.904444,03/01/2022 00:00,0.38,11.9
Potenza_viale_Firenze,40.313888,15.904444,03/01/2022 01:00,0.31,26.62
Potenza_viale_Firenze,40.313888,15.904444,03/01/2022 02:00,0.31,22.48
Potenza_viale_Firenze,40.313888,15.904444,03/01/2022 03:00,0.3,28.73
Potenza_viale_Firenze,40.313888,15.904444,03/01/2022 04:00,0.32,30.6
Potenza_viale_Firenze,40.313888,15.904444,03/01/2022 05:00,0.33,34.11
Potenza_viale_Firenze,40.313888,15.904444,03/01/2022 06:00,0.28,39.11
Potenza_viale_Firenze,40.313888,15.904444,03/01/2022 07:00,0.45,55.43
