Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (ppb),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Viggiano,40.313888,15.904444,01/01/2021 01:00,1.84,0.41,43.72,0.1,3.07,0.01,2.17,0.21,3.01,2.62,1.55,0.02,39.34,0.05,10.59,0.0,944.41,1.75,6.96,1.4,0.88,91.15,0.92
Viggiano,40.313888,15.904444,01/01/2021 02:00,2.15,0.36,45.86,0.12,3.7,0.02,2.09,0.19,2.04,2.2,1.63,0.03,42.92,0.1,11.1,0.0,944.43,1.97,6.67,1.5,0.96,91.22,1.16
Viggiano,40.313888,15.904444,01/01/2021 03:00,1.78,0.3,22.35,0.09,2.11,0.01,1.96,0.17,0.6,1.34,1.57,0.01,45.71,0.07,0.07,0.0,944.61,1.8,8.75,1.41,0.69,89.53,0.88
Viggiano,40.313888,15.904444,01/01/2021 04:00,1.24,0.23,317.12,0.05,3.49,0.02,1.95,0.17,0.14,1.05,1.67,0.0,48.39,0.02,9.99,0.0,944.63,1.82,5.73,1.27,0.47,90.52,1.35
Viggiano,40.313888,15.904444,01/01/2021 05:00,0.96,0.25,2.13,0.04,3.13,0.01,2.06,0.19,1.99,2.08,1.55,0.02,46.11,0.06,6.02,0.0,944.44,1.68,6.49,1.5,0.47,89.92,1.15
Viggiano,40.313888,15.904444,01/01/2021 06:00,1.02,0.28,359.53,0.06,3.93,0.01,1.96,0.17,0.91,1.87,1.9,0.01,43.55,0.05,6.78,0.0,944.56,1.61,6.06,0.98,0.47,89.8,0.68
Viggiano,40.313888,15.904444,01/01/2021 07:00,0.96,0.26,359.57,0.03,2.66,0.01,2.05,0.18,2.6,2.75,1.89,0.01,39.86,0.01,13.32,0.0,944.8,1.88,6.9,0.48,0.36,92.75,0.99
Viggiano,40.313888,15.904444,01/01/2021 08:00,1.05,0.24,314.56,0.08,2.63,0.03,2.04,0.19,3.42,3.57,2.29,0.02,33.98,0.02,10.51,0.0,945.09,17.89,8.52,0.27,0.55,91.77,0.82
Viggiano,40.313888,15.904444,01/01/2021 09:00,1.01,0.2,45.33,0.08,2.97,0.04,2.11,0.19,2.45,3.0,2.22,0.02,36.05,0.05,17.59,0.0,945.31,104.92,6.07,2.66,0.52,83.67,1.07
Viggiano,40.313888,15.904444,01/01/2021 10:00,1.05,0.17,202.76,0.07,3.38,0.01,2.07,0.19,4.0,4.46,2.87,0.02,47.34,0.02,-9999.0,0.0,945.28,223.52,7.12,6.9,0.39,68.1,0.98
