Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (µg/m³),Metano (ugC/m³),NMHC (ugC/m³),NO2 (µg/m³),NOx (µg/m³),NO (µg/m³),o-Xilene (µg/m³),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (hPa),Radiazione_Globale (W/m²),Radiazione_Netta (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s),Xilene (µg/m³)
Viggiano_Costa_Molina_Sud1,40.313888,15.904444,01/01/2022 01:00,0.5,0.36,351.0,0.0,2.22,1222.67,49.15,1.39,4.12,1.78,0.0,68.47,8.86,3.62,0.0,926.91,0.0,-43.42,4.68,2.12,0.09,79.67,5.49,0.0
Viggiano_Costa_Molina_Sud1,40.313888,15.904444,01/01/2022 02:00,0.41,0.32,350.0,0.0,2.12,1270.71,48.19,1.33,3.61,1.49,0.0,68.06,11.05,4.52,0.0,927.2,0.02,-27.44,4.81,2.81,0.16,77.24,4.53,0.0
Viggiano_Costa_Molina_Sud1,40.313888,15.904444,01/01/2022 03:00,0.4,0.3,349.0,0.0,2.5,1238.7,60.09,3.79,6.22,1.57,0.0,65.24,13.21,5.73,0.0,927.26,0.0,-48.34,5.84,2.5,0.07,78.99,4.71,0.0
Viggiano_Costa_Molina_Sud1,40.313888,15.904444,01/01/2022 04:00,0.17,0.31,335.0,0.0,2.09,1020.66,41.85,1.16,3.44,1.49,0.0,70.68,8.25,4.02,0.0,927.13,0.0,-61.16,5.02,2.29,0.39,79.9,5.67,0.0
Viggiano_Costa_Molina_Sud1,40.313888,15.904444,01/01/2022 05:00,0.22,0.3,349.0,0.0,2.32,1035.45,44.87,1.24,3.68,1.59,0.0,69.72,6.58,3.62,0.0,927.03,0.0,-61.3,5.47,2.27,0.06,81.35,5.21,0.0
Viggiano_Costa_Molina_Sud1,40.313888,15.904444,01/01/2022 06:00,0.35,0.28,352.0,0.0,2.6,1060.25,50.59,3.13,5.66,1.65,0.0,66.23,15.03,8.02,0.0,927.15,0.0,-60.03,4.87,2.0,0.07,83.0,4.77,0.0
Viggiano_Costa_Molina_Sud1,40.313888,15.904444,01/01/2022 07:00,0.33,0.29,351.0,0.0,2.88,1074.43,41.03,0.92,3.36,1.59,0.0,69.4,12.91,5.05,0.0,927.48,0.0,-59.04,3.37,2.029,0.07,81.94,4.46,0.0
Viggiano_Costa_Molina_Sud1,40.313888,15.904444,01/01/2022 08:00,0.27,0.31,350.0,0.0,3.06,1089.91,41.41,-9999.0,-9999.0,-9999.0,0.0,67.17,21.37,9.08,0.0,927.68,9.26,-44.73,3.23,1.88,0.08,80.69,5.23,0.0
Viggiano_Costa_Molina_Sud1,40.313888,15.904444,01/01/2022 09:00,0.29,0.22,289.0,0.0,2.93,1081.23,42.83,0.38,2.78,1.68,0.0,-9999.0,7.11,2.73,0.0,929.6,93.86,47.98,1.63,3.96,0.13,76.77,1.67,0.0
Viggiano_Costa_Molina_Sud1,40.313888,15.904444,01/01/2022 10:00,0.27,0.26,299.0,0.0,3.85,1093.99,58.25,6.82,13.13,4.1,0.0,53.08,-9999.0,-9999.0,0.0,929.97,222.31,127.33,13.72,5.92,0.04,71.37,2.02,0.0
