Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (µg/m³),Metano (ugC/m³),NMHC (ugC/m³),NO2 (µg/m³),NOx (µg/m³),NO (µg/m³),o-Xilene (µg/m³),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (hPa),Radiazione_Globale (W/m²),Radiazione_Netta (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s),Xilene (µg/m³)
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 01:00,1.09,0.27,326.0,0.08,1.58,1139.43,55.09,7.87,10.73,1.86,0.05,51.11,-9999.0,-9999.0,0.0,937.5,0.0,-52.66,3.68,2.75,0.43,97.54,6.86,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 02:00,1.19,0.21,309.0,0.08,1.96,1078.08,48.4,7.21,10.04,1.85,0.05,48.31,-9999.0,-9999.0,0.0,937.44,0.0,-57.59,3.39,3.47,0.26,97.26,6.79,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 03:00,0.95,0.18,32.0,0.08,2.0,1092.9,46.37,6.54,9.51,1.93,0.05,52.82,-9999.0,-9999.0,0.0,937.75,0.0,-68.52,3.34,2.62,0.44,97.79,5.94,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 04:00,0.8,0.12,8.0,0.08,1.86,1061.72,55.06,6.39,9.18,1.82,0.05,57.69,-9999.0,5.98,0.0,937.84,0.0,-65.41,4.08,1.69,0.28,97.85,5.52,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 05:00,0.63,0.1,355.0,0.08,1.93,1164.09,73.91,7.47,10.22,1.79,0.05,71.11,11.47,8.39,0.0,937.56,0.0,-65.8,4.6,1.42,0.08,97.75,6.57,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 06:00,0.52,-9999.0,301.0,0.08,2.4,1152.83,50.07,8.03,11.4,2.2,0.05,-9999.0,15.58,9.47,0.0,937.76,0.0,-62.53,4.26,1.17,0.07,97.8,5.93,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 07:00,0.48,0.26,350.0,0.08,2.05,1211.64,61.22,10.13,13.07,1.92,0.05,45.26,26.64,14.05,0.0,937.81,0.0,-55.91,4.59,0.82,0.07,97.73,6.08,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 08:00,0.69,0.26,348.0,0.08,2.54,1331.38,82.33,11.79,14.71,1.9,0.05,50.69,23.59,15.06,0.0,938.2,21.97,-53.16,4.22,1.3,0.13,97.79,6.06,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 09:00,0.63,0.3,302.0,0.08,2.31,1217.98,58.17,15.3,19.24,2.57,0.05,53.51,8.58,7.41,0.0,939.51,167.93,-37.91,4.31,4.75,0.17,98.54,4.68,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 10:00,0.84,0.28,338.0,0.08,2.14,1115.83,34.37,12.42,15.79,2.2,0.05,58.11,16.28,12.46,0.0,939.97,317.44,107.53,3.83,8.01,0.22,95.42,1.51,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 11:00,0.77,0.26,255.0,0.08,2.16,1052.73,36.06,7.52,10.83,2.16,0.05,56.8,23.67,14.71,0.0,939.88,381.59,209.88,4.54,10.53,0.21,84.72,2.32,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 12:00,0.54,0.26,267.0,0.08,2.02,1018.24,36.8,7.01,10.06,1.99,0.05,65.16,11.73,2.4,0.0,939.39,200.86,125.27,4.35,10.89,0.18,77.98,2.37,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 13:00,0.73,0.24,233.0,0.08,1.64,992.41,36.41,6.39,9.28,1.89,0.05,68.07,15.63,10.98,0.0,938.82,227.24,85.5,4.38,11.44,0.12,75.19,2.91,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 14:00,0.29,0.25,222.0,0.08,2.2,981.3,34.0,5.28,8.28,1.96,0.05,75.48,15.45,11.12,0.0,938.44,410.53,125.9,4.49,12.4,0.08,70.82,4.67,0.1
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 15:00,0.36,0.26,210.0,0.08,2.32,971.97,35.29,4.97,8.04,2.0,0.05,77.72,7.39,5.73,0.0,938.25,267.54,43.55,4.4,12.58,0.08,68.27,3.97,0.11
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 16:00,0.39,0.26,179.0,0.08,2.14,967.47,34.27,5.81,8.58,1.81,0.06,79.24,10.4,4.77,0.0,938.33,84.96,-20.39,5.18,11.11,0.08,74.59,3.77,0.11
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 17:00,0.42,0.3,100.0,0.09,1.7,998.31,48.38,6.75,9.58,1.85,0.06,66.06,10.43,8.94,0.0,938.42,7.6,-70.75,5.34,8.75,0.08,88.3,2.12,0.11
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 18:00,0.66,0.28,51.0,0.08,1.81,1007.52,46.68,5.91,8.8,1.89,0.06,54.82,9.39,6.88,0.0,938.52,0.01,-69.38,5.29,6.26,0.08,93.97,2.009,0.11
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 19:00,0.55,0.33,63.0,0.08,1.73,1022.55,66.88,7.69,10.5,1.83,0.06,50.45,13.52,11.85,0.0,938.59,0.01,-66.28,5.15,4.43,0.14,97.8,2.1,0.11
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 20:00,0.58,0.32,74.0,0.08,1.8,1039.97,44.18,6.85,7.81,0.62,0.06,57.02,9.41,6.26,0.0,938.25,0.01,-56.58,4.82,3.68,0.08,98.43,2.0,0.11
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 21:00,0.46,0.35,200.0,0.08,1.79,1072.42,58.52,7.89,8.82,0.6,0.06,57.27,19.6,11.5,0.0,938.67,0.01,-26.08,4.63,4.21,0.08,98.7,1.93,0.11
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 22:00,0.71,0.37,114.0,0.08,1.81,1180.96,90.05,11.29,12.26,0.63,0.06,45.76,21.63,11.37,0.0,938.09,0.0,-43.19,4.55,4.61,0.08,98.3,5.57,0.11
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,01/01/2022 23:00,0.85,0.4,52.0,0.08,1.67,1181.83,63.26,13.27,14.49,0.8,0.06,40.48,11.82,6.26,0.0,938.09,0.0,-10.05,4.64,4.71,0.17,98.21,4.82,0.11
Viggiano_Masseria_De_Blasiis,40.313888,15.904444,02/01/2022 00:00,0.87,0.41,3.0,0.08,1.46,1251.58,81.2,10.65,11.38,0.48,0.06,48.63,7.91,4.46,0.0,937.95,0.01,-58.39,4.9,4.39,0.29,98.31,2.32,0.11
