Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
La_Martella,40.686388,16.546944,01/01/2022 01:00,1.5,0.52,47.0,0.18,0.12,2.15,0.04,7.23,4.57,0.78,0.09,39.99,0.1,0.0,995.5,0.25,1.15,7.7,0.4,76.97,2.8
La_Martella,40.686388,16.546944,01/01/2022 02:00,1.51,0.5,46.0,0.15,0.16,2.17,0.04,6.5,4.22,0.82,0.09,40.73,0.11,0.0,995.07,0.21,2.01,7.84,0.43,76.52,2.4
La_Martella,40.686388,16.546944,01/01/2022 03:00,1.43,0.49,47.0,0.04,0.11,2.18,0.04,6.09,4.0,0.82,0.03,38.74,0.04,0.0,994.93,0.21,1.23,7.35,0.37,78.67,2.89
La_Martella,40.686388,16.546944,01/01/2022 04:00,1.32,0.46,45.0,0.07,0.09,2.18,0.05,6.01,3.96,0.82,0.06,38.21,0.07,0.0,994.38,0.22,2.47,7.34,0.39,77.97,2.78
La_Martella,40.686388,16.546944,01/01/2022 05:00,1.39,0.48,43.0,0.02,0.03,2.21,0.04,5.66,3.68,0.71,0.04,39.18,0.03,0.0,994.25,0.26,1.85,7.31,0.37,78.04,3.13
La_Martella,40.686388,16.546944,01/01/2022 06:00,1.37,0.48,47.0,0.04,0.1,2.19,0.05,5.82,3.84,0.8,0.05,35.61,0.04,0.0,994.64,0.21,2.26,6.37,0.16,80.38,4.01
La_Martella,40.686388,16.546944,01/01/2022 07:00,1.32,0.43,46.0,0.08,0.11,2.14,0.04,4.47,3.1,0.77,0.04,40.61,0.07,0.0,994.75,0.2,2.36,7.06,0.38,80.05,2.75
La_Martella,40.686388,16.546944,01/01/2022 08:00,0.8,0.42,50.0,0.11,0.11,2.12,0.04,3.85,2.78,0.77,0.1,43.24,0.11,0.0,994.85,8.72,2.65,7.57,0.43,78.32,2.33
La_Martella,40.686388,16.546944,01/01/2022 09:00,1.15,0.42,53.0,0.06,0.05,2.11,0.04,4.72,3.91,1.44,0.06,46.57,0.05,0.0,995.23,150.02,2.3,10.29,0.12,71.87,1.5
La_Martella,40.686388,16.546944,01/01/2022 10:00,1.28,0.43,241.0,0.08,0.08,2.1,0.05,4.32,3.09,0.83,0.06,58.39,0.06,0.0,995.46,308.91,2.52,14.7,0.15,57.79,0.89
