Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),Direzione_Vento (°N),NO2 (µg/m³),NOx (ppb),NO (ppb),O3 (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Umidità_Relativa (%),Velocità_Vento (m/s)
Melfi,40.313888,15.904444,01/01/2022 01:00,0.0,254.0,1.59,2.25,1.43,54.66,3.41,0.0,958.86,0.0,3.39,15.49,41.29,4.27
Melfi,40.313888,15.904444,01/01/2022 02:00,0.0,251.0,1.34,2.22,1.54,55.73,9.86,0.0,958.62,0.0,3.41,15.45,39.86,4.13
Melfi,40.313888,15.904444,01/01/2022 03:00,0.0,253.0,1.19,2.51,1.94,56.08,10.28,0.0,958.39,0.0,3.68,15.57,38.36,4.28
Melfi,40.313888,15.904444,01/01/2022 04:00,0.0,255.0,1.23,2.17,1.56,55.67,4.3,0.0,957.97,0.0,3.68,15.26,39.73,4.05
Melfi,40.313888,15.904444,01/01/2022 05:00,0.0,253.0,1.04,2.07,1.59,56.05,8.61,0.0,957.96,0.0,3.27,15.22,39.29,4.82
Melfi,40.313888,15.904444,01/01/2022 06:00,0.0,295.0,1.33,2.0,1.34,56.49,11.3,0.0,958.22,0.0,3.59,14.85,40.1,3.68
Melfi,40.313888,15.904444,01/01/2022 07:00,0.0,259.0,1.29,2.15,1.52,54.78,5.85,0.0,958.14,0.0,3.35,14.25,40.81,2.81
Melfi,40.313888,15.904444,01/01/2022 08:00,0.0,256.0,1.32,2.48,1.83,56.05,3.95,0.0,958.51,5.21,3.19,14.17,40.93,3.36
Melfi,40.313888,15.904444,01/01/2022 09:00,0.0,266.0,1.97,2.62,1.61,54.68,3.39,0.0,959.07,24.88,3.25,14.28,41.79,2.99
Melfi,40.313888,15.904444,01/01/2022 10:00,0.0,261.0,2.07,2.89,1.81,53.37,5.61,0.0,959.66,218.78,3.05,15.16,42.59,3.06
Melfi,40.313888,15.904444,01/01/2022 11:00,1.62,259.0,2.44,3.24,1.97,52.56,15.92,0.0,959.75,387.65,2.9,16.59,40.92,2.67
Melfi,40.313888,15.904444,01/01/2022 12:00,7.46,285.0,2.17,2.98,1.86,53.67,12.08,0.0,959.85,425.68,3.12,17.53,38.82,2.25
Melfi,40.313888,15.904444,01/01/2022 13:00,6.78,301.0,1.87,2.56,1.59,55.62,13.1,0.0,959.64,440.02,3.8,17.5,42.08,2.35
Melfi,40.313888,15.904444,01/01/2022 14:00,4.8,292.0,2.18,2.74,1.6,55.82,5.83,0.0,959.4,383.43,3.79,17.44,44.22,2.75
Melfi,40.313888,15.904444,01/01/2022 15:00,2.27,311.0,1.67,2.39,1.54,54.2,4.98,0.0,959.36,273.62,3.39,17.5,41.72,2.64
