Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Pisticci,40.420277,16.548333,01/01/2022 01:00,3.0,0.39,269.43,11.95,11.24,2.22,0.09,5.59,3.96,1.06,10.52,32.55,12.36,0.0,1016.17,0.0,2.79,7.63,13.26,92.54,0.42
Pisticci,40.420277,16.548333,01/01/2022 02:00,1.23,0.38,246.3,3.83,6.11,2.27,0.1,10.07,6.49,1.27,0.48,24.79,0.86,0.0,1015.89,0.0,2.68,6.63,17.69,92.16,0.3
Pisticci,40.420277,16.548333,01/01/2022 03:00,5.76,0.37,356.67,3.53,2.58,2.22,0.1,10.17,6.29,1.03,3.55,24.35,6.24,0.0,1015.73,0.0,2.46,5.69,3.49,92.75,0.18
Pisticci,40.420277,16.548333,01/01/2022 04:00,1.32,0.38,246.06,16.93,4.38,2.24,0.11,9.51,6.13,1.12,3.51,19.21,2.92,0.0,1015.16,0.0,2.6,5.25,11.62,93.77,0.25
Pisticci,40.420277,16.548333,01/01/2022 05:00,2.13,0.37,245.68,4.29,4.9,2.24,0.09,5.7,3.86,0.9,4.12,19.82,4.1,0.0,1014.88,0.0,2.78,4.81,1.58,94.9,0.28
Pisticci,40.420277,16.548333,01/01/2022 06:00,3.33,0.36,249.77,4.9,4.4,2.44,0.11,5.14,3.63,0.97,0.94,20.98,2.76,0.0,1015.15,0.01,2.69,4.8,4.08,96.06,0.27
Pisticci,40.420277,16.548333,01/01/2022 07:00,1.19,0.37,-9999.0,4.9,1.67,2.37,0.09,9.57,6.18,1.21,1.96,19.09,3.75,0.0,1015.47,0.0,2.66,5.22,17.71,96.96,-9999.0
Pisticci,40.420277,16.548333,01/01/2022 08:00,2.05,0.39,246.5,3.52,2.85,2.35,0.1,11.0,7.09,1.36,11.34,17.99,3.39,0.0,1015.66,13.34,2.63,5.32,1.38,97.45,0.34
Pisticci,40.420277,16.548333,01/01/2022 09:00,2.44,0.39,247.03,2.94,5.29,2.4,0.1,7.13,5.32,1.6,4.25,28.14,2.92,0.0,1015.98,189.29,2.34,10.21,6.33,97.77,0.43
Pisticci,40.420277,16.548333,01/01/2022 10:00,0.64,0.39,225.85,2.63,4.4,2.34,0.1,6.11,4.72,1.55,1.06,37.47,1.19,0.0,1016.18,327.93,2.25,15.36,2.24,90.05,0.51
Pisticci,40.420277,16.548333,01/01/2022 11:00,1.11,0.4,246.94,10.9,1.96,2.18,0.1,5.1,-9999.0,-9999.0,2.27,52.82,18.83,0.0,1015.99,426.46,2.81,19.4,1.32,66.42,0.8
Pisticci,40.420277,16.548333,01/01/2022 12:00,0.85,0.4,336.92,1.19,2.12,2.14,0.11,5.3,3.53,0.79,2.73,63.14,2.21,0.0,1015.53,353.04,2.86,21.93,0.57,48.23,0.94
Pisticci,40.420277,16.548333,01/01/2022 13:00,1.42,0.4,337.19,0.68,1.18,2.15,0.13,4.94,3.39,0.84,3.22,69.4,2.46,0.0,1015.12,360.7,2.99,22.78,1.27,43.3,1.26
Pisticci,40.420277,16.548333,01/01/2022 14:00,1.47,0.41,336.51,0.73,0.33,2.14,0.13,5.29,3.74,0.99,2.17,70.53,0.73,0.0,1014.77,68.54,3.22,22.17,0.93,44.43,1.5
Pisticci,40.420277,16.548333,01/01/2022 15:00,0.59,0.4,337.08,0.64,1.29,2.13,0.13,4.8,3.24,0.75,0.72,71.11,0.96,0.0,1014.7,61.58,3.41,21.63,0.85,45.7,1.35
Pisticci,40.420277,16.548333,01/01/2022 16:00,0.79,0.41,336.78,0.14,0.05,2.15,0.14,6.11,4.01,0.84,0.09,67.78,0.06,0.0,1014.86,46.18,3.21,20.44,0.13,49.82,1.03
Pisticci,40.420277,16.548333,01/01/2022 17:00,0.79,0.42,315.2,0.22,0.08,2.14,0.16,5.6,3.71,0.81,0.24,65.86,0.22,0.0,1015.17,1.91,3.58,18.5,0.24,54.24,0.96
Pisticci,40.420277,16.548333,01/01/2022 18:00,0.53,0.42,314.51,0.01,0.04,2.14,0.15,6.02,3.79,0.69,0.01,61.6,0.03,0.0,1015.62,0.01,3.27,17.07,0.26,58.75,1.0
Pisticci,40.420277,16.548333,01/01/2022 19:00,0.62,0.42,314.67,0.08,0.16,2.15,0.13,6.3,4.12,0.88,0.15,60.31,0.2,0.0,1016.31,0.0,2.95,16.16,0.22,61.08,0.91
Pisticci,40.420277,16.548333,01/01/2022 20:00,0.95,0.42,314.04,0.08,0.16,2.15,0.12,5.58,3.81,0.88,0.12,62.48,0.11,0.0,1016.86,0.01,3.0,15.76,0.19,61.06,0.9
Pisticci,40.420277,16.548333,01/01/2022 21:00,0.83,0.41,291.09,0.11,0.12,2.14,0.13,5.17,3.64,0.95,0.1,64.37,0.12,0.0,1017.27,0.0,2.77,15.3,0.23,59.5,0.85
