Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (µg/m³),Metano (ugC/m³),NMHC (ugC/m³),NO2 (µg/m³),NOx (µg/m³),NO (µg/m³),o-Xilene (µg/m³),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (hPa),Radiazione_Globale (W/m²),Radiazione_Netta (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s),Xilene (µg/m³)
Viggiano1,40.313888,15.904444,01/01/2022 01:00,0.98,0.37,290.0,0.0,1.32,917.96,21.92,7.39,10.42,1.97,0.0,61.1,13.82,9.27,0.0,934.69,2.44,-75.53,6.89,12.79,0.31,25.79,1.82,0.0
Viggiano1,40.313888,15.904444,01/01/2022 02:00,0.42,0.4,284.0,0.0,1.06,916.17,27.25,4.65,7.31,1.73,0.0,65.32,15.59,10.76,0.0,934.43,2.5,-72.99,5.84,12.7,0.09,25.64,1.6,0.0
Viggiano1,40.313888,15.904444,01/01/2022 03:00,0.43,0.33,297.0,0.0,1.04,914.08,19.77,3.59,6.29,1.76,0.0,65.58,15.65,10.75,0.0,934.3,2.34,-79.51,6.36,12.98,0.09,25.97,2.88,0.0
Viggiano1,40.313888,15.904444,01/01/2022 04:00,0.04,0.34,294.0,0.0,1.16,916.42,17.38,3.01,5.66,1.73,0.0,67.38,8.64,4.36,0.0,933.8,2.37,-76.35,6.2,12.78,0.08,25.92,2.76,0.0
Viggiano1,40.313888,15.904444,01/01/2022 05:00,0.26,0.38,297.0,0.0,1.24,919.68,16.61,3.36,5.95,1.69,0.0,68.22,9.69,3.77,0.0,933.36,2.53,-74.64,6.16,12.71,0.08,25.29,2.47,0.0
Viggiano1,40.313888,15.904444,01/01/2022 06:00,0.03,0.36,294.0,0.0,1.65,919.77,15.78,2.8,5.29,1.62,0.0,66.02,15.07,8.24,0.0,933.53,2.01,-78.47,2.22,12.38,0.09,25.57,2.75,0.0
Viggiano1,40.313888,15.904444,01/01/2022 07:00,0.03,0.35,280.0,0.0,2.26,920.74,15.97,3.9,5.43,1.0,0.0,66.0,11.74,7.52,0.0,933.68,2.38,-75.45,2.2,11.93,0.09,26.72,1.9,0.0
Viggiano1,40.313888,15.904444,01/01/2022 08:00,0.03,0.38,311.0,0.0,2.11,924.02,19.43,5.91,7.43,0.99,0.0,65.87,8.02,4.16,0.0,933.81,25.06,-59.99,1.75,12.58,0.09,26.07,1.31,0.0
Viggiano1,40.313888,15.904444,01/01/2022 09:00,0.21,0.32,164.0,0.0,1.99,914.89,20.28,5.13,7.17,1.33,0.0,63.81,8.8,5.33,0.0,934.3,103.15,28.61,1.35,16.25,0.09,18.21,1.47,0.0
Viggiano1,40.313888,15.904444,01/01/2022 10:00,0.13,0.3,318.0,0.0,2.08,918.41,17.96,4.65,6.64,1.3,0.0,67.56,7.44,4.62,0.0,934.56,199.75,146.47,0.84,17.93,0.08,13.71,1.87,0.0
Viggiano1,40.313888,15.904444,01/01/2022 11:00,0.0,0.35,285.0,0.0,2.12,971.34,28.39,5.5,8.04,1.66,0.0,61.61,11.69,7.08,0.0,934.55,297.9,227.38,0.67,19.15,0.06,13.62,2.91,0.0
Viggiano1,40.313888,15.904444,01/01/2022 12:00,0.0,0.35,288.0,0.0,2.19,967.31,22.54,6.48,8.99,1.64,0.0,65.94,13.47,8.19,0.0,934.21,151.44,266.09,0.22,20.64,0.2,11.9,2.92,0.0
Viggiano1,40.313888,15.904444,01/01/2022 13:00,0.21,0.34,298.0,0.0,2.14,926.98,14.79,4.69,6.87,1.43,0.0,71.64,12.01,7.38,0.0,933.92,216.86,266.07,0.04,21.16,0.07,10.18,3.59,0.0
Viggiano1,40.313888,15.904444,01/01/2022 14:00,0.23,0.31,289.0,0.0,2.1,916.72,14.61,3.54,5.51,1.28,0.0,-9999.0,13.12,7.36,0.0,933.94,238.38,215.53,0.09,22.64,0.06,6.7,2.95,0.0
Viggiano1,40.313888,15.904444,01/01/2022 15:00,0.0,0.33,345.0,0.0,2.15,912.51,14.07,3.34,5.18,1.2,0.0,75.76,9.61,4.52,0.0,933.82,169.85,135.84,0.1,22.23,0.06,4.91,3.14,0.0
Viggiano1,40.313888,15.904444,01/01/2022 16:00,0.01,0.34,340.0,0.0,2.23,913.4,14.45,3.43,4.81,0.9,0.0,76.07,13.41,8.1,0.0,934.0,46.53,-19.13,0.09,20.1,0.07,8.5,2.76,0.0
Viggiano1,40.313888,15.904444,01/01/2022 17:00,0.03,0.32,37.0,0.0,2.23,910.47,16.03,4.48,6.43,1.27,0.0,74.1,15.24,9.61,0.0,934.19,10.69,-86.29,0.41,17.06,0.09,14.0,2.45,0.0
Viggiano1,40.313888,15.904444,01/01/2022 18:00,0.28,0.39,28.0,0.0,2.25,919.01,24.04,7.56,9.8,1.47,0.0,69.66,17.85,10.91,0.0,934.66,2.66,-87.79,0.5,15.32,0.08,18.21,2.42,0.0
Viggiano1,40.313888,15.904444,01/01/2022 19:00,0.7,0.62,350.0,0.0,2.18,938.53,55.33,10.23,12.36,1.39,0.0,68.59,10.17,6.58,0.0,935.18,3.62,-77.55,0.86,14.06,0.37,21.54,1.25,0.0
Viggiano1,40.313888,15.904444,01/01/2022 20:00,2.14,0.85,25.0,0.0,2.28,960.2,71.6,18.07,20.28,1.44,0.0,61.42,9.64,6.08,0.0,935.38,4.07,-77.92,0.41,13.61,1.05,23.27,2.07,0.0
Viggiano1,40.313888,15.904444,01/01/2022 21:00,2.21,0.83,328.0,0.0,2.38,953.09,51.79,15.14,17.04,1.24,0.0,65.01,9.33,3.82,0.0,935.44,3.48,-76.64,1.08,13.72,1.35,21.32,1.49,0.13
