Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Etilbenzene (µg/m³),mp-Xilene (µg/m³),o-Xilene (µg/m³),PM10 (µg/m³),Toluene (µg/m³)
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 01:00,2.68,0.8,0.61,1.95,0.6,30.01,2.01
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 02:00,2.75,0.84,0.61,1.45,0.6,15.24,1.68
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 03:00,2.72,0.78,0.8,1.1,0.73,10.75,1.19
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 04:00,2.3,0.58,0.73,1.47,0.75,9.41,1.61
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 05:00,1.81,0.49,0.56,1.43,0.58,14.74,1.54
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 06:00,1.61,0.45,0.56,1.1,0.55,19.1,1.3
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 07:00,1.51,0.47,0.32,0.96,0.55,8.97,0.95
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 08:00,1.62,0.5,0.47,1.05,0.56,5.11,1.27
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 09:00,1.61,0.5,0.56,1.1,0.55,6.26,1.4
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 10:00,1.59,0.43,0.56,1.1,0.53,6.27,1.27
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 11:00,1.74,0.28,0.45,0.81,0.47,11.05,0.9
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 12:00,1.42,0.24,0.05,0.59,0.46,13.5,0.68
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 13:00,1.38,0.27,0.05,0.55,0.45,18.48,0.48
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 14:00,1.42,0.25,0.16,0.68,0.46,20.59,0.78
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 15:00,1.42,0.23,0.19,0.7,0.46,26.16,0.8
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 16:00,1.42,0.29,0.05,0.46,0.46,14.26,0.48
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 17:00,1.6,0.43,0.05,0.44,0.47,24.41,0.59
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 18:00,2.18,0.75,0.42,1.06,0.56,34.61,1.54
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 19:00,2.91,0.81,0.84,0.35,0.86,25.83,2.93
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 20:00,3.42,0.96,0.6,0.01,0.92,10.88,3.05
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 21:00,3.74,1.05,0.61,0.02,0.72,6.65,1.61
Potenza_Viale_Unicef,40.313888,15.904444,01/01/2022 22:00,3.91,1.1,0.67,0.02,0.95,18.35,3.59
