Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (ppb),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Viggiano,40.313888,15.904444,01/01/2022 01:00,2.68,0.56,0.3,0.14,2.98,0.05,2.24,0.03,13.44,10.08,2.89,0.08,26.85,0.06,0.0,955.89,3.27,3.97,4.44,1.2,89.32,1.54
Viggiano,40.313888,15.904444,01/01/2022 02:00,2.39,0.52,316.5,0.08,3.32,0.04,2.17,0.04,14.67,10.19,2.36,0.04,22.61,0.02,0.0,955.58,3.24,3.28,3.58,1.0,90.77,2.42
Viggiano,40.313888,15.904444,01/01/2022 03:00,2.08,0.48,356.99,0.14,2.55,0.09,2.15,0.03,11.27,7.79,1.73,0.07,27.96,0.18,0.0,955.49,3.53,3.83,3.41,1.07,93.31,1.08
Viggiano,40.313888,15.904444,01/01/2022 04:00,1.86,0.42,339.55,0.11,3.78,0.05,2.15,0.04,9.77,6.81,1.53,0.01,27.7,0.1,0.0,954.85,3.27,3.25,3.24,0.81,93.33,2.45
Viggiano,40.313888,15.904444,01/01/2022 05:00,1.54,0.38,313.34,0.16,3.24,0.08,2.18,0.03,9.78,6.75,1.47,0.01,27.44,0.22,0.0,954.39,3.22,2.58,2.98,0.78,92.74,3.52
Viggiano,40.313888,15.904444,01/01/2022 06:00,1.52,0.45,338.2,0.17,3.71,0.12,2.39,0.03,16.52,11.63,2.83,0.09,14.94,0.26,0.0,954.71,3.33,3.35,2.04,1.02,96.54,2.86
Viggiano,40.313888,15.904444,01/01/2022 07:00,1.66,0.3,117.08,0.22,2.53,0.15,2.18,0.03,10.24,7.97,2.45,0.12,26.35,0.36,0.0,954.85,3.3,4.87,2.31,1.46,96.58,2.86
Viggiano,40.313888,15.904444,01/01/2022 08:00,0.98,0.26,339.94,0.09,3.0,0.06,2.12,0.03,9.23,6.27,1.27,0.03,27.99,0.06,0.0,954.92,16.03,3.48,2.94,0.53,90.4,1.89
Viggiano,40.313888,15.904444,01/01/2022 09:00,0.99,0.31,335.61,0.22,4.02,0.17,2.31,0.05,13.77,11.52,4.16,0.14,30.37,0.46,0.0,955.43,36.78,2.55,7.16,0.88,73.18,2.21
Viggiano,40.313888,15.904444,01/01/2022 10:00,1.53,0.37,134.14,0.13,3.25,0.07,2.32,0.03,11.88,10.19,3.81,0.06,35.27,0.2,0.0,955.58,108.76,3.91,10.27,0.82,63.75,2.01
